column1,Department_Id,Department_Name,Latitude,Longitude
0,2,Fitness,18.251453399658203,-66.03705596923828
1,2,Fitness,18.279451370239258,-66.03706359863281
2,2,Fitness,37.292232513427734,-121.88127899169922
3,2,Fitness,34.125946044921875,-118.291015625
4,2,Fitness,18.253768920898438,-66.03704833984375
5,2,Fitness,43.01396942138672,-78.87906646728516
6,2,Fitness,18.242538452148438,-66.03705596923828
7,2,Fitness,25.928869247436523,-80.16287231445312
8,2,Fitness,18.23322296142578,-66.03705596923828
9,2,Fitness,37.773990631103516,-121.96662902832031
10,2,Fitness,18.28284454345703,-66.03705596923828
11,2,Fitness,40.65486526489258,-73.58707427978516
12,2,Fitness,36.67633819580078,-121.6565170288086
13,2,Fitness,18.278438568115234,-66.03705596923828
14,2,Fitness,42.526275634765625,-70.92703247070312
15,2,Fitness,18.28404998779297,-66.03705596923828
16,2,Fitness,18.395790100097656,-65.87288665771484
17,2,Fitness,33.8986930847168,-118.174560546875
18,2,Fitness,18.23377799987793,-66.03706359863281
19,2,Fitness,42.04830551147461,-87.96134185791016
20,2,Fitness,33.78245162963867,-118.19224548339844
21,2,Fitness,18.283376693725586,-66.03705596923828
22,2,Fitness,38.61177444458008,-121.28286743164062
23,2,Fitness,18.20733642578125,-66.03705596923828
24,2,Fitness,45.78831100463867,-108.55941009521484
25,2,Fitness,18.261632919311523,-66.03705596923828
26,2,Fitness,41.23545455932617,-75.86985778808594
27,2,Fitness,18.27022361755371,-66.03706359863281
28,2,Fitness,41.86886215209961,-84.57365417480469
29,2,Fitness,33.909423828125,-118.12535858154297
30,2,Fitness,18.27526092529297,-66.03706359863281
31,2,Fitness,41.865440368652344,-88.10990142822266
32,2,Fitness,18.28713607788086,-66.03705596923828
33,2,Fitness,42.3911018371582,-83.13121795654297
34,2,Fitness,32.865394592285156,-96.86858367919922
35,2,Fitness,18.240741729736328,-66.03705596923828
36,2,Fitness,40.03171920776367,-76.8770980834961
37,2,Fitness,32.81010818481445,-96.68649291992188
38,2,Fitness,18.286048889160156,-66.03705596923828
39,2,Fitness,39.681880950927734,-75.64421081542969
40,2,Fitness,34.158939361572266,-118.18093872070312
41,2,Fitness,18.28294563293457,-66.03706359863281
42,2,Fitness,33.81632614135742,-84.44550323486328
43,2,Fitness,18.241039276123047,-66.03706359863281
44,2,Fitness,37.49027633666992,-121.92710876464844
45,2,Fitness,18.26469612121582,-66.03705596923828
46,2,Fitness,43.18824005126953,-77.56706237792969
